table_schema,table_name,column_name,data_type
public,account_betting_houses,id,uuid
public,account_betting_houses,account_id,uuid
public,account_betting_houses,betting_house_id,uuid
public,account_betting_houses,status,text
public,account_betting_houses,verification,text
public,account_betting_houses,created_at,timestamp with time zone
public,account_betting_houses,updated_at,timestamp with time zone
public,account_betting_houses,saldo,text
public,account_betting_houses,deposito,text
public,account_betting_houses,sacado,text
public,account_betting_houses,creditos,text
public,account_betting_houses,obs,text
public,accounts,id,uuid
public,accounts,item,integer
public,accounts,responsavel,text
public,accounts,status,text
public,accounts,name,text
public,accounts,cpf,text
public,accounts,birth_date,date
public,accounts,address,text
public,accounts,phone,text
public,accounts,email1,text
public,accounts,password1,text
public,accounts,chip,text
public,accounts,verification,text
public,accounts,created_at,timestamp with time zone
public,accounts,updated_at,timestamp with time zone
public,accounts,user_id,uuid
public,banks,id,uuid
public,banks,name,text
public,banks,initial_capital,numeric
public,banks,roi,numeric
public,banks,gross_profit,numeric
public,banks,created_at,timestamp with time zone
public,banks,updated_at,timestamp with time zone
public,banks,user_id,uuid
public,banks,bet_count,numeric
public,betting_houses,id,uuid
public,betting_houses,name,text
public,betting_houses,created_at,timestamp with time zone
public,betting_houses,updated_at,timestamp with time zone
public,betting_houses,link,text
public,betting_operation_details,id,uuid
public,betting_operation_details,betting_operation_id,uuid
public,betting_operation_details,account_id,uuid
public,betting_operation_details,casa1,text
public,betting_operation_details,cpf1,text
public,betting_operation_details,stake1,text
public,betting_operation_details,casa2,text
public,betting_operation_details,cpf2,text
public,betting_operation_details,stake2,text
public,betting_operation_details,casaprot,text
public,betting_operation_details,cpfprot,text
public,betting_operation_details,stakeprot,text
public,betting_operation_details,casavencedora,text
public,betting_operation_details,cpfvencedor,text
public,betting_operation_details,created_at,timestamp with time zone
public,betting_operation_details,updated_at,timestamp with time zone
public,betting_operation_details,casaprot2,text
public,betting_operation_details,cpfprot2,text
public,betting_operation_details,stakeprot2,text
public,betting_operation_details,casaprot3,text
public,betting_operation_details,cpfprot3,text
public,betting_operation_details,stakeprot3,text
public,betting_operations,id,uuid
public,betting_operations,date,date
public,betting_operations,time,time without time zone
public,betting_operations,game_name,text
public,betting_operations,house1_id,uuid
public,betting_operations,house2_id,uuid
public,betting_operations,bet_amount,numeric
public,betting_operations,result,numeric
public,betting_operations,profit,numeric
public,betting_operations,promotion_type,text
public,betting_operations,status,text
public,betting_operations,created_at,timestamp with time zone
public,betting_operations,updated_at,timestamp with time zone
public,betting_operations,promotion_id,uuid
public,betting_operations,bank_id,uuid
public,betting_operations,user_id,uuid
public,emprestadores,id,uuid
public,emprestadores,account_id,uuid
public,emprestadores,email,text
public,emprestadores,password,text
public,emprestadores,created_at,timestamp with time zone
public,emprestadores,updated_at,timestamp with time zone
public,lender_tasks,id,uuid
public,lender_tasks,title,text
public,lender_tasks,status,text
public,lender_tasks,created_at,timestamp with time zone
public,lender_tasks,updated_at,timestamp with time zone
public,lender_tasks,lender_id,uuid
public,manual_balances,id,integer
public,manual_balances,type,text
public,manual_balances,amount,numeric
public,manual_balances,last_updated,timestamp with time zone
